,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,092,940","+19,244","399,365",+347,"23,594,231","+20,364","1,099,344","21,895",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,298,085","+46,775","817,196","+1,248","23,945,780","+41,622","9,535,109","25,841",,,,,,Europe,,,,,
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796","336,251","2,526",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,060,694","+71,053","2,551,995","+2,102","90,785,098","+71,648","21,723,601","90,316","14,761",327.4,,,,All,,,,,
,131,Haiti,"12,493",,250 ,,"9,763",,"2,480",,"1,087",22,"54,379","4,731","11,494,705 ",North America,"92045,979211",
,132,Réunion,"12,416",,52 ,,"11,270",,"1,094",55,"13,802",58,"98,785","109,815","899,560 ",Africa,"7217,2999",
,133,Belize,"12,313",,315 ,,"11,860",,138,2,"30,599",783,"85,510","212,500","402,400 ",North America,"331,2775",
,134,Burkina Faso,"12,030",,143 ,,"11,588",,299,,565,7,,,"21,280,234 ",Africa,"1,769148,813",
,135,Hong Kong,"11,033",+13,200 ,,"10,563",+16,270,14,"1,464",27,"8,601,877","1,141,226","7,537,398 ",Asia,"68337,6871",
,136,Andorra,"10,889",,110 ,,"10,475",,304,17,"140,781","1,422","193,595","2,502,941","77,347 ",Europe,77030,
,137,Lesotho,"10,495",,295 ,,"3,768",,"6,432",,"4,873",137,"61,205","28,421","2,153,535 ",Africa,"2057,30035",
,138,Guadeloupe,"9,746",,159 ,,"2,242",,"7,345",6,"24,355",397,"131,178","327,806","400,170 ",North America,"412,5173",
,139,Suriname,"8,933",,173 ,,"8,413",,347,3,"15,138",293,"40,968","69,423","590,123 ",South America,"663,41114",
,140,Congo,"8,820",,128 ,,"7,019",,"1,673",,"1,573",23,"92,500","16,496","5,607,552 ",Africa,"63643,80961",
,141,Guyana,"8,595",,197 ,,"7,993",,405,5,"10,892",250,"65,719","83,286","789,078 ",South America,"924,00512",
,142,Bahamas,"8,519",,179 ,,"7,309",,"1,031",2,"21,527",452,"67,841","171,429","395,739 ",North America,"462,2116",
,143,Mali,"8,390",,355 ,,"6,408",,"1,627",,407,17,"153,345","7,432","20,634,137 ",Africa,"2,45958,124135",
